num;bdd;sub;age;sex;sco;sta;anc;job;deg;stc;enf;cho;lan;ste;su_1;su_2;su_3;su_4;su_5;su_6;su_7;su_8;su_9;su_10;su_11;su_12;su_13;su_14
510;1;510_1;3;1;3;1;3;;;;;;;;5;6;6;6;6;5;7;7;6;6;6;4;5;6
518;1;518_1;2;1;3;1;3;;;;;;;;6;5;7;7;7;4;7;5;7;6;6;7;7;6
520;1;520_1;3;1;3;1;22;;;;;;;;5;6;6;6;6;5;7;6;6;6;7;5;6;6
524;1;524_1;2;1;4;1;4;;;;;;;;5;5;5;5;5;5;5;4;6;6;6;5;6;6
540;1;540_1;3;1;3;1;11;;;;;;;;7;6;6;6;6;6;6;6;6;6;6;6;6;6
558;2;16_2;25;2;;;;1;7;;;;;;6;5;6;5;6;6;5;6;6;6;6;6;6;6
596;2;54_2;56;2;;;;34;4;;;;;;4;6;6;5;4;7;4;6;6;5;5;4;5;6
602;2;60_2;43;2;;;;15;6;;;;;;6;5;7;5;7;6;7;6;7;6;6;5;6;6
604;2;62_2;40;1;;;;13;3;;;;;;5;5;5;6;6;4;4;6;6;5;6;5;5;6
624;3;4_3;35 à 44 ans;Femme;D.E.S, D.E.P., A.E.P. (études secondaires);;Plus de 5 ans à moins de 10 ans;;;;;;;;6;6;6;6;6;6;7;7;7;7;7;7;7;6
626;3;6_3;55 ans et plus;Femme;D.E.S, D.E.P., A.E.P. (études secondaires);;10 ans et plus;;;;;;;;7;;6;7;6;7;7;7;7;7;7;7;7;6
632;3;12_3;55 ans et plus;Femme;D.E.S, D.E.P., A.E.P. (études secondaires);;10 ans et plus;;;;;;;;6;7;5;5;4;5;7;7;6;7;6;4;5;6
634;3;14_3;25 à 34 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;1 à 5 ans;;;;;;;;3;5;6;6;3;5;3;5;6;6;6;3;6;6
642;3;22_3;45 à 54 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;1 à 5 ans;;;;;;;;7;7;7;6;6;6;7;6;6;6;6;6;6;6
644;3;24_3;18 à 24 ans;Femme;D.E.C. (études collégiales);;1 à 5 ans;;;;;;;;6;5;5;6;5;6;5;6;5;4;4;3;4;6
648;3;28_3;45 à 54 ans;Femme;D.E.S, D.E.P., A.E.P. (études secondaires);;Moins de 1 an;;;;;;;;6;6;6;6;6;6;6;6;6;6;6;6;6;6
660;3;40_3;;Femme;D.E.C. (études collégiales);;10 ans et plus;;;;;;;;6;7;7;6;5;6;6;5;6;6;6;5;6;6
662;3;42_3;55 ans et plus;Femme;D.E.C. (études collégiales);;1 à 5 ans;;;;;;;;7;7;7;6;5;6;6;6;6;6;6;6;6;6
666;3;46_3;55 ans et plus;Femme;D.E.C. (études collégiales);;10 ans et plus;;;;;;;;6;6;6;6;6;6;6;6;5;5;6;6;6;6
672;3;52_3;25 à 34 ans;Femme;Maîtrise (études universitaires de 2e cycle);;Moins de 1 an;;;;;;;;5;4;6;4;7;5;6;7;6;6;7;4;5;6
676;3;56_3;25 à 34 ans;Femme;Maîtrise (études universitaires de 2e cycle);;Moins de 1 an;;;;;;;;6;6;7;6;6;7;6;6;5;5;6;4;6;6
678;3;58_3;45 à 54 ans;Femme;Aucun Diplôme;;Moins de 1 an;;;;;;;;7;7;6;5;5;6;6;6;6;6;6;5;6;6
682;3;62_3;55 ans et plus;Femme;D.E.C. (études collégiales);;10 ans et plus;;;;;;;;6;7;7;7;6;7;6;6;7;7;6;6;7;6
684;3;64_3;18 à 24 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;1 à 5 ans;;;;;;;;5;6;7;5;6;6;6;5;6;7;7;6;6;6
686;3;66_3;35 à 44 ans;Femme;D.E.S, D.E.P., A.E.P. (études secondaires);;Plus de 5 ans à moins de 10 ans;;;;;;;;6;5;6;6;5;6;7;7;6;6;6;5;6;6
700;3;80_3;25 à 34 ans;Femme;Certificat (études universitaires de 1er cycle, 30 crédits);;1 à 5 ans;;;;;;;;6;7;6;6;6;6;6;6;6;7;7;6;7;6
710;3;90_3;25 à 34 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;10 ans et plus;;;;;;;;7;6;6;3;7;6;7;7;7;7;6;3;7;6
716;3;96_3;25 à 34 ans;Homme;Certificat (études universitaires de 1er cycle, 30 crédits);;Moins de 1 an;;;;;;;;6;7;7;7;6;7;6;6;6;6;6;5;6;6
728;3;108_3;25 à 34 ans;Femme;D.E.C. (études collégiales);;Plus de 5 ans à moins de 10 ans;;;;;;;;7;6;6;6;6;6;7;7;6;6;6;7;6;6
736;3;116_3;45 à 54 ans;Homme;Maîtrise (études universitaires de 2e cycle);;Plus de 5 ans à moins de 10 ans;;;;;;;;6;4;5;5;6;6;7;6;6;2;5;5;6;6
756;3;136_3;25 à 34 ans;Homme;Baccalauréat (études universitaires de 1er cycle);;1 à 5 ans;;;;;;;;5;6;6;6;4;7;7;6;6;6;6;5;6;6
758;3;138_3;25 à 34 ans;Femme;Maîtrise (études universitaires de 2e cycle);;1 à 5 ans;;;;;;;;6;6;6;6;6;6;5;5;6;6;6;6;6;6
764;4;2_4;3;1;3;;;;;;;;;;6;6;6;6;6;6;6;6;6;6;6;5;6;6
772;4;10_4;3;2;4;;;;;;;;;;6;6;6;6;6;6;6;6;6;6;6;5;6;6
774;4;12_4;2;1;3;;;;;;;;;;6;6;6;6;6;5;6;6;6;6;6;4;6;6
778;4;16_4;3;1;3;;;;;;;;;;5;6;6;5;5;5;5;5;6;5;5;6;5;6
780;4;18_4;1;1;3;;;;;;;;;;5;6;6;5;6;6;6;6;6;5;5;5;6;6
788;4;26_4;2;2;4;;;;;;;;;;3;5;5;4;4;4;4;4;7;6;5;3;7;6
794;4;32_4;2;1;3;;;;;;;;;;6;5;6;5;7;6;6;5;5;5;7;5;5;6
798;4;36_4;3;;3;;;;;;;;;;6;5;5;5;4;5;5;5;5;5;5;4;5;6
806;4;44_4;3;1;2;;;;;;;;;;6;6;5;5;6;5;6;6;6;6;6;5;6;6
816;4;54_4;3;2;3;;;;;;;;;;5;6;6;6;6;7;6;6;7;6;6;5;6;6
826;4;64_4;2;1;4;;;;;;;;;;7;6;6;6;7;6;7;6;7;7;6;6;6;6
832;4;70_4;4;1;2;;;;;;;;;;6;5;6;5;5;5;5;5;6;6;5;6;6;6
834;4;72_4;3;1;4;;;;;;;;;;7;6;6;6;6;5;6;6;6;6;5;6;6;6
842;4;80_4;2;1;2;;;;;;;;;;5;6;6;4;6;7;6;5;6;6;6;4;6;6
844;4;82_4;2;1;3;;;;;;;;;;4;5;6;4;4;3;3;2;6;5;6;4;5;6
846;4;84_4;3;2;3;;;;;;;;;;6;6;7;5;5;5;5;6;6;6;6;4;6;6
850;4;88_4;1;1;4;;;;;;;;;;5;5;6;6;5;5;5;6;6;6;5;4;6;6
856;4;94_4;1;1;2;;;;;;;;;;7;6;5;4;4;5;6;6;5;4;5;4;5;6
872;4;110_4;3;1;4;;;;;;;;;;6;6;6;6;6;6;7;7;6;6;7;6;6;6
876;4;114_4;2;1;3;;;;;;;;;;6;6;6;6;6;6;5;5;7;7;6;5;5;6
890;5;3_5;22;1;2;;;;;;;;;;6;6;6;5;6;5;6;6;6;6;6;6;6;6
914;5;27_5;22;1;2;;;;;;;;;;5;5;5;5;6;7;7;5;6;6;6;6;6;6
920;5;33_5;26;1;4;;;;;;;;;;5;4;5;5;5;5;5;5;5;5;6;4;5;6
946;5;59_5;21;1;2;;;;;;;;;;6;5;7;6;6;6;6;6;6;6;6;5;6;6
950;5;63_5;22;1;2;;;;;;;;;;6;5;6;6;5;6;6;6;6;6;6;6;6;6
968;5;81_5;23;1;2;;;;;;;;;;5;6;6;6;5;5;6;6;6;6;6;6;6;6
988;6;12_6;;1;8;;;;;1;1;1;2;1;2;6;6;6;4;6;5;6;6;6;5;6;6;6
992;6;16_6;19;2;5;;;;;1;1;2;2;1;6;5;6;6;5;7;7;5;5;5;5;6;6;6
996;6;20_6;21;2;5;;;;;1;1;1;2;2;5;5;6;6;5;6;2;6;7;7;6;5;6;6
1000;6;24_6;22;2;9;;;;;1;1;2;;1;6;4;4;5;6;6;6;6;4;4;5;6;5;6
1008;6;32_6;22;2;6;;;;;1;1;2;2;1;7;6;6;6;6;7;7;7;6;6;6;6;6;6
1014;6;38_6;28;2;7;;;;;1;1;1;2;1;4;4;4;4;4;4;6;6;4;4;6;4;4;6
1018;6;42_6;19;2;5;;;;;1;1;1;1;2;6;5;5;5;6;6;6;6;6;6;6;6;6;6
1032;6;56_6;21;2;6;;;;;1;1;1;2;1;4;4;4;5;5;6;6;5;5;4;6;4;4;6
1066;6;90_6;27;1;8;;;;;1;1;2;2;1;6;6;6;6;6;6;3;5;5;5;5;4;5;6
1068;6;92_6;20;2;5;;;;;1;1;2;3;1;3;3;;4;5;6;5;4;5;4;6;4;6;6
1074;6;98_6;23;1;4;;;;;1;1;2;;1;7;5;5;6;5;6;4;5;7;7;6;4;6;6
1084;6;108_6;24;2;6;;;;;2;1;1;3;1;6;4;5;5;5;5;7;6;4;4;6;4;5;6
1090;6;114_6;20;2;6;;;;;1;1;1;2;1;5;5;5;5;5;6;6;6;6;5;6;4;5;6
1092;6;116_6;26;2;7;;;;;1;1;1;1;2;6;6;6;5;6;6;5;4;7;7;7;5;7;6
1102;6;126_6;20;2;5;;;;;1;1;1;2;1;6;5;5;5;5;6;5;5;5;6;6;5;6;6
1106;6;130_6;;1;6;;;;;1;1;1;2;1;5;6;6;6;4;7;4;5;6;5;5;4;6;6
1108;6;132_6;21;2;5;;;;;1;1;1;2;1;6;6;6;6;5;6;6;6;5;5;5;6;6;6
1112;6;136_6;21;2;6;;;;;1;1;1;2;1;6;6;7;6;5;6;4;6;4;6;6;4;5;6
1122;6;146_6;20;1;5;;;;;1;1;1;3;1;5;5;5;5;6;7;1;7;6;6;5;4;5;6
1126;6;150_6;22;2;7;;;;;1;1;1;1;2;7;7;7;7;5;7;7;7;7;7;7;6;7;6
1130;6;154_6;21;1;9;;;;;1;1;1;3;1;4;3;4;3;2;6;4;4;4;6;7;4;4;6
1132;6;156_6;28;2;7;;;;;1;1;1;1;2;6;6;6;6;6;5;5;6;6;5;6;6;6;6
1138;6;162_6;22;1;8;;;;;1;1;1;;1;6;6;6;6;4;5;6;4;5;5;6;5;6;6
1142;6;166_6;;2;7;;;;;1;1;;;1;6;5;3;;6;2;3;4;5;;6;3;4;6
1146;6;170_6;;2;5;;;;;1;1;1;3;1;7;7;7;7;5;7;7;7;6;7;7;7;7;6
1148;6;172_6;23;1;5;;;;;1;1;2;2;1;6;7;7;5;6;6;4;6;6;5;6;6;5;6
1160;6;184_6;19;1;8;;;;;1;1;1;2;1;6;5;6;6;6;6;7;5;6;5;6;5;6;6
1200;6;224_6;21;2;8;;;;;2;1;1;2;1;5;5;5;6;6;6;6;6;5;5;6;5;5;6
1208;6;232_6;;2;5;;;;;1;1;2;2;1;6;6;6;6;5;6;6;6;5;5;;5;6;6
1214;6;238_6;20;2;8;;;;;1;1;1;;1;5;6;7;6;5;7;5;6;4;1;6;4;6;6
1234;6;258_6;21;2;8;;;;;2;1;1;2;1;6;5;5;6;4;5;5;6;4;4;5;4;5;6
1238;6;262_6;20;1;6;;;;;1;1;1;2;1;5;3;4;5;4;;2;4;6;4;5;4;5;6
1266;6;290_6;21;2;5;;;;;1;1;1;2;1;6;6;6;6;6;6;6;6;6;5;6;6;6;6
1282;6;306_6;24;2;5;;;;;1;1;1;2;1;5;4;5;5;5;7;3;5;6;6;5;4;6;6
1284;6;308_6;21;1;5;;;;;2;1;1;2;1;7;7;6;7;5;6;7;6;7;6;6;5;6;6
1300;6;324_6;24;1;7;;;;;1;1;2;2;1;6;4;6;4;4;4;5;5;6;5;5;6;6;6
1320;6;344_6;20;1;5;;;;;1;1;2;2;1;6;6;6;6;6;6;5;6;5;6;6;4;6;6
1324;6;348_6;22;2;3;;;;;1;1;2;2;1;5;4;5;5;5;5;4;5;6;6;5;4;5;6
1328;6;352_6;21;1;5;;;;;1;1;1;2;1;5;4;4;5;4;7;7;7;4;4;6;4;5;6
1348;6;372_6;20;1;8;;;;;2;1;2;;1;4;6;6;6;4;6;5;6;6;6;5;3;5;6
1354;6;378_6;30;2;2;;;;;2;3;2;;1;6;7;7;7;6;7;7;7;6;6;6;6;6;6
1372;6;396_6;21;2;5;;;;;1;1;1;2;1;6;3;4;7;1;7;4;4;3;4;7;1;5;6
1378;6;402_6;21;1;5;;;;;1;1;2;2;1;6;6;6;6;6;6;7;5;5;6;7;5;6;6
1400;6;424_6;21;1;3;;;;;2;1;1;1;1;7;6;7;6;7;7;7;6;6;6;7;4;6;6
1412;6;436_6;23;1;5;;;;;2;1;1;2;1;6;5;6;6;6;6;4;6;6;6;6;6;6;6
1416;6;440_6;25;1;5;;;;;2;1;1;2;1;4;5;5;5;3;6;6;6;6;5;6;3;5;6
1426;6;450_6;20;2;5;;;;;1;1;2;2;1;5;6;6;5;6;5;6;6;6;6;6;5;5;6
1432;6;456_6;23;1;5;;;;;1;1;1;2;1;6;7;7;7;6;7;4;6;6;6;6;5;5;6
1442;6;466_6;21;2;8;;;;;1;1;2;;1;4;5;5;5;2;1;1;3;6;6;5;4;5;6
1444;6;468_6;22;2;6;;;;;1;1;2;2;1;5;6;5;5;5;6;4;6;7;6;6;4;6;6
1468;6;492_6;23;1;5;;;;;2;1;1;2;1;5;7;7;6;6;6;4;6;6;6;6;5;6;6
1472;6;496_6;20;2;8;;;;;1;1;2;2;1;6;5;6;5;4;5;6;6;4;5;6;4;6;6
1480;6;504_6;32;1;10;;;;;1;1;1;1;2;6;7;7;6;6;7;6;6;7;6;7;5;6;6
1482;6;506_6;19;1;5;;;;;1;1;1;2;1;5;5;5;6;5;5;6;6;7;7;6;6;6;6
1484;6;508_6;25;2;8;;;;;1;1;1;2;1;6;6;6;6;6;6;4;6;6;6;6;6;6;6
1492;6;516_6;22;1;6;;;;;1;1;2;2;1;6;5;5;4;4;4;7;6;6;6;6;5;6;6
1506;6;530_6;;1;5;;;;;1;1;1;2;1;6;5;5;6;3;6;7;6;6;6;5;6;6;6
54;1;54_1;1;1;3;1;6;;;;;;;;4;7;7;7;7;7;4;4;7;7;7;4;7;7
60;1;60_1;2;1;4;1;2;;;;;;;;6;6;7;6;7;6;7;7;6;6;7;6;6;7
70;1;70_1;2;1;3;1;1;;;;;;;;5;6;7;3;7;7;7;7;7;7;7;5;7;7
74;1;74_1;1;1;3;1;4;;;;;;;;5;6;6;6;5;5;5;6;7;7;7;5;7;7
76;1;76_1;2;2;3;1;2;;;;;;;;7;7;7;6;5;5;7;7;7;7;7;5;6;7
88;1;88_1;2;2;3;3;4;;;;;;;;6;5;7;6;5;5;4;6;7;7;7;5;7;7
92;1;92_1;1;1;3;1;25;;;;;;;;6;6;7;5;5;6;7;7;6;6;7;5;6;7
132;1;132_1;3;1;3;1;55;;;;;;;;7;7;7;7;7;7;7;7;7;7;4;5;7;7
134;1;134_1;1;1;3;1;1.5;;;;;;;;7;7;7;7;7;7;7;7;7;7;7;5;7;7
142;1;142_1;1;1;4;1;11;;;;;;;;5;6;7;7;7;7;6;6;5;5;6;5;7;7
182;1;182_1;3;2;3;1;14;;;;;;;;7;7;7;7;7;7;7;7;7;7;7;6;7;7
192;1;192_1;2;1;3;1;16;;;;;;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7
200;1;200_1;1;1;4;1;4;;;;;;;;5;6;6;6;6;7;7;7;7;7;7;5;7;7
230;1;230_1;3;2;2;1;8;;;;;;;;7;5;6;7;7;7;6;6;6;7;6;5;7;7
260;1;260_1;2;1;4;1;55;;;;;;;;7;6;7;7;7;6;7;7;7;7;7;6;7;7
266;1;266_1;4;1;3;1;5;;;;;;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7
290;1;290_1;3;1;3;1;3;;;;;;;;7;7;7;5;7;7;7;7;7;7;7;6;7;7
292;1;292_1;4;1;4;1;38;;;;;;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7
310;1;310_1;1;1;4;3;75;;;;;;;;5;7;7;7;6;7;7;7;7;5;7;7;4;7
340;1;340_1;2;1;3;3;0.5;;;;;;;;2;7;7;4;4;7;2;2;7;7;7;2;7;7
352;1;352_1;3;1;4;1;11;;;;;;;;7;7;7;7;7;7;7;7;7;7;7;6;7;7
376;1;376_1;2;2;4;1;15;;;;;;;;6;6;7;6;6;6;7;7;6;6;7;6;6;7
378;1;378_1;1;1;4;1;7;;;;;;;;6;6;7;7;6;7;6;6;7;7;7;7;7;7
382;1;382_1;2;1;3;1;14;;;;;;;;6;6;6;6;5;6;7;7;7;7;7;6;6;7
394;1;394_1;2;1;3;1;3;;;;;;;;7;6;7;6;6;6;7;7;7;7;7;6;7;7
416;1;416_1;2;2;3;1;14;;;;;;;;7;7;7;;5;5;7;7;7;7;7;7;7;7
450;1;450_1;3;2;3;1;0.5;;;;;;;;7;7;7;7;7;7;7;7;7;7;7;5;7;7
470;1;470_1;3;1;3;1;10;;;;;;;;5;7;7;7;6;7;7;6;7;7;7;5;7;7
514;1;514_1;2;1;3;1;1;;;;;;;;7;6;7;6;5;6;6;6;7;7;7;7;7;7
572;2;30_2;47;1;;;;19;3;;;;;;7;7;7;7;7;7;7;6;7;7;7;7;7;7
628;3;8_3;35 à 44 ans;Femme;D.E.C. (études collégiales);;1 à 5 ans;;;;;;;;7;7;7;7;7;7;7;7;7;7;7;5;7;7
636;3;16_3;35 à 44 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;10 ans et plus;;;;;;;;5;4;5;7;6;7;6;6;7;6;7;5;6;7
638;3;18_3;;Femme;Baccalauréat (études universitaires de 1er cycle);;1 à 5 ans;;;;;;;;6;7;7;6;6;6;6;6;6;6;6;6;7;7
650;3;30_3;35 à 44 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;Plus de 5 ans à moins de 10 ans;;;;;;;;7;5;5;5;5;7;7;7;7;7;7;7;7;7
654;3;34_3;45 à 54 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;1 à 5 ans;;;;;;;;6;6;6;6;6;6;5;6;7;6;6;6;7;7
664;3;44_3;45 à 54 ans;Femme;Certificat (études universitaires de 1er cycle, 30 crédits);;Plus de 5 ans à moins de 10 ans;;;;;;;;6;5;5;6;6;7;7;7;7;7;7;4;7;7
670;3;50_3;25 à 34 ans;Femme;D.E.C. (études collégiales);;10 ans et plus;;;;;;;;5;7;7;7;7;4;7;7;7;7;7;7;7;7
674;3;54_3;55 ans et plus;Femme;D.E.S, D.E.P., A.E.P. (études secondaires);;10 ans et plus;;;;;;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7
688;3;68_3;45 à 54 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;10 ans et plus;;;;;;;;7;7;7;6;7;7;7;7;7;7;7;6;7;7
692;3;72_3;18 à 24 ans;Femme;D.E.C. (études collégiales);;Moins de 1 an;;;;;;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7
698;3;78_3;;Femme;D.E.C. (études collégiales);;1 à 5 ans;;;;;;;;7;7;7;6;6;6;6;6;7;6;;5;7;7
702;3;82_3;25 à 34 ans;Femme;D.E.C. (études collégiales);;Plus de 5 ans à moins de 10 ans;;;;;;;;6;5;6;5;6;4;7;7;7;7;7;6;6;7
704;3;84_3;45 à 54 ans;Femme;D.E.C. (études collégiales);;1 à 5 ans;;;;;;;;4;5;7;6;7;4;5;4;6;6;6;4;6;7
714;3;94_3;25 à 34 ans;Femme;D.E.C. (études collégiales);;Plus de 5 ans à moins de 10 ans;;;;;;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7
718;3;98_3;;Femme;D.E.C. (études collégiales);;10 ans et plus;;;;;;;;7;7;7;7;7;7;7;1;7;7;7;7;7;7
720;3;100_3;;Femme;D.E.C. (études collégiales);;Plus de 5 ans à moins de 10 ans;;;;;;;;7;7;7;7;7;7;7;7;7;7;7;7;7;7
722;3;102_3;25 à 34 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;Plus de 5 ans à moins de 10 ans;;;;;;;;7;7;7;7;7;7;7;7;7;7;7;6;7;7
724;3;104_3;18 à 24 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;1 à 5 ans;;;;;;;;7;7;7;7;7;6;7;7;7;7;7;7;7;7
726;3;106_3;45 à 54 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;Plus de 5 ans à moins de 10 ans;;;;;;;;7;7;7;7;7;7;4;4;7;7;7;7;7;7
734;3;114_3;55 ans et plus;Femme;Baccalauréat (études universitaires de 1er cycle);;10 ans et plus;;;;;;;;7;6;7;7;6;7;7;7;7;7;7;6;7;7
738;3;118_3;35 à 44 ans;Femme;Maîtrise (études universitaires de 2e cycle);;Plus de 5 ans à moins de 10 ans;;;;;;;;7;6;6;6;7;7;7;7;7;7;7;6;7;7
742;3;122_3;55 ans et plus;Homme;Certificat (études universitaires de 1er cycle, 30 crédits);;Plus de 5 ans à moins de 10 ans;;;;;;;;7;6;7;6;7;7;7;7;7;7;6;6;7;7
746;3;126_3;35 à 44 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;Plus de 5 ans à moins de 10 ans;;;;;;;;7;6;7;7;6;7;7;7;7;7;7;6;7;7
748;3;128_3;35 à 44 ans;Femme;Maîtrise (études universitaires de 2e cycle);;Plus de 5 ans à moins de 10 ans;;;;;;;;7;6;7;7;7;7;7;7;6;6;7;7;6;7
752;3;132_3;45 à 54 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;Plus de 5 ans à moins de 10 ans;;;;;;;;6;6;7;7;7;7;7;7;7;7;7;5;6;7
796;4;34_4;1;1;2;;;;;;;;;;4;7;7;5;7;5;7;7;6;6;7;5;7;7
814;4;52_4;2;1;4;;;;;;;;;;7;6;7;7;7;5;7;7;7;7;7;7;6;7
818;4;56_4;1;1;4;;;;;;;;;;7;7;7;7;7;5;7;7;7;7;7;6;7;7
868;4;106_4;2;1;2;;;;;;;;;;7;5;7;7;4;5;5;5;7;5;6;4;6;7
926;5;39_5;28;1;2;;;;;;;;;;7;6;5;5;6;6;6;6;5;7;7;4;6;7
928;5;41_5;24;1;2;;;;;;;;;;6;7;7;7;7;7;7;7;7;7;7;7;7;7
930;5;43_5;24;1;2;;;;;;;;;;6;6;6;5;5;5;7;7;6;5;5;5;6;7
972;5;85_5;22;1;2;;;;;;;;;;7;5;6;6;5;7;5;5;7;7;7;5;7;7
984;6;8_6;37;1;2;;;;;2;4;2;;1;7;7;7;7;6;7;6;5;6;7;7;6;7;7
1060;6;84_6;24;1;8;;;;;1;1;2;;1;4;5;5;5;4;6;4;6;6;6;7;4;6;7
1140;6;164_6;37;2;6;;;;;4;3;1;1;1;6;6;7;5;6;7;3;6;7;7;7;5;7;7
1144;6;168_6;21;1;4;;;;;1;1;1;;1;4;7;7;6;7;7;1;7;7;6;3;3;4;7
1172;6;196_6;22;2;8;;;;;2;1;2;3;1;6;6;6;7;6;6;1;5;7;6;6;7;6;7
1184;6;208_6;25;1;6;;;;;1;1;2;;1;6;6;6;7;5;7;5;7;6;6;6;6;7;7
1206;6;230_6;23;1;7;;;;;1;1;1;2;1;6;6;7;6;6;7;6;6;6;6;6;6;7;7
1212;6;236_6;23;2;7;;;;;1;1;1;2;1;7;7;7;7;6;7;6;7;6;6;6;5;7;7
1230;6;254_6;23;2;6;;;;;1;1;2;2;1;7;6;6;5;6;7;6;7;7;7;6;5;7;7
1290;6;314_6;20;1;5;;;;;1;1;2;2;1;7;6;6;7;6;7;6;7;7;6;7;7;7;7
1302;6;326_6;21;2;5;;;;;1;1;1;1;2;6;6;7;7;6;5;;2;7;6;6;3;6;7
1358;6;382_6;43;1;6;;;;;2;3;1;1;2;2;5;7;7;7;7;2;7;7;5;7;4;;7
1364;6;388_6;20;2;5;;;;;1;1;1;;1;6;5;5;6;5;7;1;5;7;7;7;5;6;7
1394;6;418_6;20;2;8;;;;;1;1;2;;1;6;6;6;7;6;7;6;7;7;6;7;7;6;7
1398;6;422_6;36;2;8;;;;;2;3;1;1;2;7;7;7;5;7;7;7;7;7;7;7;3;7;7
1470;6;494_6;21;2;8;;;;;1;1;1;2;1;1;2;2;3;3;5;2;7;4;6;7;5;5;7
1496;6;520_6;19;2;5;;;;;2;1;1;2;1;6;7;7;6;6;6;6;2;6;7;4;5;5;7
484;1;484_1;3;2;3;1;2;;;;;;;;3;6;6;6;3;6;4;3;3;3;5;2;3;
544;2;2_2;43;2;;;;18;5;;;;;;6;5;6;5;6;6;6;6;6;6;6;6;6;
1048;6;72_6;20;;8;;;;;1;1;1;2;1;5;4;5;6;3;5;4;4;6;4;2;2;3;